,X,Y
City 1,54.48,-65.51
City 2,-0.01,70.4
City 3,-31.84,52.78
City 4,7.44,110.81
City 5,0.48,-8.14
City 6,-35.41,52.91
City 7,-22.35,-76.01
City 8,0.51,19.98
City 9,33.9,129.98
City 10,28.93,83.32
City 11,12.16,-38.25
City 12,-20.48,-26.84
City 13,-6.08,-41.6
City 14,20.32,45.82
City 15,37.46,-90.3
City 16,-24.64,10.94
City 17,-37.75,35.36
City 18,86.16,-56.38
City 19,58.2,-1.3
City 20,-8.46,-2.09
City 21,70.56,-74.77
City 22,-20.97,69.5
City 23,-43.76,44.19
City 24,59.62,-25.01
City 25,-5.86,113.93
City 26,83.39,-40.75
City 27,27.89,153.6
City 28,12.34,-49.86
City 29,29.52,-65.32
City 30,30.93,-11.09
City 31,-57.85,28.41
City 32,43.29,-27.63
City 33,6.13,-7.5
City 34,53.34,-8.37
City 35,65.06,-8.95
City 36,-35.7,24.75
City 37,45.36,78.4
City 38,5.72,117.85
City 39,56.69,3.77
City 40,-21.69,53.65
City 41,-40.75,44.12
City 42,-43.76,50.71
City 43,57.78,-21.56
City 44,0.51,0.27
City 45,24.75,14.43
City 46,56.79,-25.56
City 47,-34.03,55.01
City 48,-23.16,36.01
City 49,-24.13,49.93
City 50,63.83,-26.78
City 51,63.88,-47.35
City 52,37.56,155.12
City 53,-4.83,-23.84
City 54,2.15,27.66
City 55,-17.97,-57.69
City 56,-10.26,81.14
City 57,12.56,-58.24
City 58,-39.45,-28.27
City 59,-16.2,27.97
City 60,-41.25,-27.87
